INSEE_CO P12_POP POSTAL_C LIB ATIH_COM ATIH_POP POSTAL_P POP_V OK Nom_de_la_commune POSTAL_COM LibellÈ_d_acheminement Territoire LibTerr
75101 17100 75001 PARIS-1ER-ARRONDISSEMENT 75001 17100 17100 17100 1 "PARIS 01" 75001 PARIS T1 "T1 Paris"
75102 22390 75002 PARIS-2E-ARRONDISSEMENT 75002 22390 22390 22390 1 "PARIS 02" 75002 PARIS T1 "T1 Paris"
75103 35991 75003 PARIS-3E-ARRONDISSEMENT 75003 35991 35991 35991 1 "PARIS 03" 75003 PARIS T1 "T1 Paris"
75104 27769 75004 PARIS-4E-ARRONDISSEMENT 75004 27769 27769 27769 1 "PARIS 04" 75004 PARIS T1 "T1 Paris"
75105 60179 75005 PARIS-5E-ARRONDISSEMENT 75005 60179 60179 60179 1 "PARIS 05" 75005 PARIS T1 "T1 Paris"
75106 43224 75006 PARIS-6E-ARRONDISSEMENT 75006 43224 43224 43224 1 "PARIS 06" 75006 PARIS T1 "T1 Paris"
75107 57092 75007 PARIS-7E-ARRONDISSEMENT 75007 57092 57092 57092 1 "PARIS 07" 75007 PARIS T1 "T1 Paris"
75108 38749 75008 PARIS-8E-ARRONDISSEMENT 75008 38749 38749 38749 1 "PARIS 08" 75008 PARIS T1 "T1 Paris"
75109 59474 75009 PARIS-9E-ARRONDISSEMENT 75009 59474 59474 59474 1 "PARIS 09" 75009 PARIS T1 "T1 Paris"
75110 94474 75010 PARIS-10E-ARRONDISSEMENT 75010 94474 94474 94474 1 "PARIS 10" 75010 PARIS T1 "T1 Paris"
75111 155006 75011 PARIS-11E-ARRONDISSEMENT 75011 155006 155006 155006 1 "PARIS 11" 75011 PARIS T1 "T1 Paris"
75112 144925 75012 PARIS-12E-ARRONDISSEMENT 75012 144925 144925 144925 1 "PARIS 12" 75012 PARIS T1 "T1 Paris"
75113 182386 75013 PARIS-13E-ARRONDISSEMENT 75013 182386 182386 182386 1 "PARIS 13" 75013 PARIS T1 "T1 Paris"
75114 141102 75014 PARIS-14E-ARRONDISSEMENT 75014 141102 141102 141102 1 "PARIS 14" 75014 PARIS T1 "T1 Paris"
75115 238190 75015 PARIS-15E-ARRONDISSEMENT 75015 238190 238190 238190 1 "PARIS 15" 75015 PARIS T1 "T1 Paris"
75116 167613 75016 PARIS-16E-ARRONDISSEMENT 75016 167613 167613 167613 1 "PARIS 16" 75016 PARIS T1 "T1 Paris"
75117 170156 75017 PARIS-17E-ARRONDISSEMENT 75017 170156 170156 170156 1 "PARIS 17" 75017 PARIS T1 "T1 Paris"
75118 201374 75018 PARIS-18E-ARRONDISSEMENT 75018 201374 201374 201374 1 "PARIS 18" 75018 PARIS T1 "T1 Paris"
75119 186116 75019 PARIS-19E-ARRONDISSEMENT 75019 186116 186116 186116 1 "PARIS 19" 75019 PARIS T1 "T1 Paris"
75120 197311 75020 PARIS-20E-ARRONDISSEMENT 75020 197311 197311 197311 1 "PARIS 20" 75020 PARIS T1 "T1 Paris"
91687 31221 91170 VIRY-CHATILLON 91170 31221 31221 31221 1 "VIRY CHATILLON" 91170 "VIRY CHATILLON" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
91027 29482 91200 ATHIS-MONS 91200 29482 29482 29482 1 "ATHIS MONS" 91200 "ATHIS MONS" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
